holc_id,holc_grade,community,NID,POP2010,POP2000,POPCH,POPPERCH,popplus,popneg,neighborhood_area,region_area
C258,C,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1,13288660.69880856,1970222.107737447
C259,C,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1,13288660.69880856,434725.82813950034
C264,C,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1,13288660.69880856,3694055.2555603758
D106,D,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1,13288660.69880856,529987.0650178096
D107,D,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1,13288660.69880856,853726.928744229
D108,D,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1,13288660.69880856,2219986.170018456
D91,D,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1,13288660.69880856,622679.5772229043
D92,D,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1,13288660.69880856,1581752.2466806811
D95,D,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1,13288660.69880856,727360.7468296067
B118,B,CHATHAM,44,31028,37275,-6247,-16.759222,0,1,13746221.643260237,2098206.3690875242
B119,B,CHATHAM,44,31028,37275,-6247,-16.759222,0,1,13746221.643260237,1165934.160329998
B120,B,CHATHAM,44,31028,37275,-6247,-16.759222,0,1,13746221.643260237,1629495.7659623548
B121,B,CHATHAM,44,31028,37275,-6247,-16.759222,0,1,13746221.643260237,3453104.957840239
C232,C,CHATHAM,44,31028,37275,-6247,-16.759222,0,1,13746221.643260237,1432573.5882128412
C236,C,CHATHAM,44,31028,37275,-6247,-16.759222,0,1,13746221.643260237,2970323.717157967
C237,C,CHATHAM,44,31028,37275,-6247,-16.759222,0,1,13746221.643260237,4107983.271658326
C246,C,CHATHAM,44,31028,37275,-6247,-16.759222,0,1,13746221.643260237,3181073.530444099
D87,D,CHATHAM,44,31028,37275,-6247,-16.759222,0,1,13746221.643260237,905455.8453819465
D88,D,CHATHAM,44,31028,37275,-6247,-16.759222,0,1,13746221.643260237,720028.8850246351
D89,D,CHATHAM,44,31028,37275,-6247,-16.759222,0,1,13746221.643260237,1544357.906331678
D94,D,CHATHAM,44,31028,37275,-6247,-16.759222,0,1,13746221.643260237,250313.49411630846
D96,D,CHATHAM,44,31028,37275,-6247,-16.759222,0,1,13746221.643260237,552184.6934388687
D97,D,CHATHAM,44,31028,37275,-6247,-16.759222,0,1,13746221.643260237,1197354.6885065562
D98,D,CHATHAM,44,31028,37275,-6247,-16.759222,0,1,13746221.643260237,2435940.5430341265
B121,B,AVALON PARK,45,10185,11147,-962,-8.630125,0,1,5820519.367774249,3453104.957840239
C238,C,AVALON PARK,45,10185,11147,-962,-8.630125,0,1,5820519.367774249,3153520.7036485747
C247,C,AVALON PARK,45,10185,11147,-962,-8.630125,0,1,5820519.367774249,835548.5548584961
C248,C,AVALON PARK,45,10185,11147,-962,-8.630125,0,1,5820519.367774249,285877.6025519853
D89,D,AVALON PARK,45,10185,11147,-962,-8.630125,0,1,5820519.367774249,1544357.906331678
B122,B,MOUNT GREENWOOD,74,19093,18820,273,1.450584,1,0,12603975.010350633,7452013.410533418
D104,D,MOUNT GREENWOOD,74,19093,18820,273,1.450584,1,0,12603975.010350633,7373690.104192247
B123,B,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1,15318321.059933355,675042.3002988442
B124,B,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1,15318321.059933355,3459836.3401368414
B125,B,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1,15318321.059933355,1769546.945051576
B126,B,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1,15318321.059933355,733650.9613981866
C252,C,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1,15318321.059933355,2514646.567898381
C253,C,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1,15318321.059933355,1671663.0619333845
C254,C,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1,15318321.059933355,2838138.357359418
C256,C,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1,15318321.059933355,605959.4052212236
C257,C,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1,15318321.059933355,275036.6671717136
C268,C,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1,15318321.059933355,4073636.570454253
D104,D,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1,15318321.059933355,7373690.104192247
D105,D,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1,15318321.059933355,599082.8693542152
D106,D,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1,15318321.059933355,529987.0650178096
D109,D,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1,15318321.059933355,357231.38996931294
D110,D,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1,15318321.059933355,504321.5429214763
D111,D,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1,15318321.059933355,3416160.133138192
D112,D,MORGAN PARK,75,22544,25226,-2682,-10.631888,0,1,15318321.059933355,694124.6982846678
B127,B,ROSELAND,49,44619,52723,-8104,-15.370901,0,1,22404977.530513655,1528492.9927661987
B128,B,ROSELAND,49,44619,52723,-8104,-15.370901,0,1,22404977.530513655,1013995.2892452953
B129,B,ROSELAND,49,44619,52723,-8104,-15.370901,0,1,22404977.530513655,2418359.406919314
C235,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1,22404977.530513655,871290.1092274043
C246,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1,22404977.530513655,3181073.530444099
C257,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1,22404977.530513655,275036.6671717136
C258,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1,22404977.530513655,1970222.107737447
C259,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1,22404977.530513655,434725.82813950034
C260,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1,22404977.530513655,1059217.5473309008
C261,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1,22404977.530513655,1617666.584812593
C262,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1,22404977.530513655,952221.2730031918
C264,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1,22404977.530513655,3694055.2555603758
C265,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1,22404977.530513655,1133673.9120146998
C266,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1,22404977.530513655,639479.4953860698
C269,C,ROSELAND,49,44619,52723,-8104,-15.370901,0,1,22404977.530513655,2735150.6907727923
D113,D,ROSELAND,49,44619,52723,-8104,-15.370901,0,1,22404977.530513655,1510143.9232406365
D120,D,ROSELAND,49,44619,52723,-8104,-15.370901,0,1,22404977.530513655,2491633.2792644706
D94,D,ROSELAND,49,44619,52723,-8104,-15.370901,0,1,22404977.530513655,250313.49411630846
D96,D,ROSELAND,49,44619,52723,-8104,-15.370901,0,1,22404977.530513655,552184.6934388687
D97,D,ROSELAND,49,44619,52723,-8104,-15.370901,0,1,22404977.530513655,1197354.6885065562
D98,D,ROSELAND,49,44619,52723,-8104,-15.370901,0,1,22404977.530513655,2435940.5430341265
B128,B,WEST PULLMAN,53,29651,36649,-6998,-19.094655,0,1,16558483.467122586,1013995.2892452953
C264,C,WEST PULLMAN,53,29651,36649,-6998,-19.094655,0,1,16558483.467122586,3694055.2555603758
C269,C,WEST PULLMAN,53,29651,36649,-6998,-19.094655,0,1,16558483.467122586,2735150.6907727923
C270,C,WEST PULLMAN,53,29651,36649,-6998,-19.094655,0,1,16558483.467122586,1022807.3592823632
D111,D,WEST PULLMAN,53,29651,36649,-6998,-19.094655,0,1,16558483.467122586,3416160.133138192
D118,D,WEST PULLMAN,53,29651,36649,-6998,-19.094655,0,1,16558483.467122586,3289344.416542652
D119,D,WEST PULLMAN,53,29651,36649,-6998,-19.094655,0,1,16558483.467122586,2179355.0276715383
D120,D,WEST PULLMAN,53,29651,36649,-6998,-19.094655,0,1,16558483.467122586,2491633.2792644706
B44,B,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1,16570330.265458535,866555.9335442752
B62,B,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1,16570330.265458535,654027.4110603558
B63,B,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1,16570330.265458535,2866114.512534886
B65,B,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1,16570330.265458535,1410763.7025659105
B69,B,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1,16570330.265458535,1752802.5961363171
B70,B,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1,16570330.265458535,1538784.9020419505
B72,B,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1,16570330.265458535,1482288.668387303
B73,B,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1,16570330.265458535,2141617.8385188915
B74,B,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1,16570330.265458535,985367.856842204
B77,B,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1,16570330.265458535,1196317.9815997933
C24,C,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1,16570330.265458535,3957364.4926257217
C67,C,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1,16570330.265458535,2009405.806532293
C71,C,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1,16570330.265458535,627466.0955472243
C72,C,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1,16570330.265458535,1027082.8707758408
C73,C,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1,16570330.265458535,475208.910868956
C75,C,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1,16570330.265458535,3142097.0204274096
D4,D,WEST RIDGE,2,71942,73199,-1257,-1.717237,0,1,16570330.265458535,112841.31409113015
B44,B,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1,8631616.244116412,866555.9335442752
B70,B,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1,8631616.244116412,1538784.9020419505
B71,B,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1,8631616.244116412,203273.26305064265
B75,B,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1,8631616.244116412,541950.8235159335
B76,B,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1,8631616.244116412,225888.10479237518
C64,C,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1,8631616.244116412,396102.318369676
C65,C,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1,8631616.244116412,494022.2450538956
C66,C,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1,8631616.244116412,632759.0384420516
C67,C,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1,8631616.244116412,2009405.806532293
C68,C,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1,8631616.244116412,1959768.116072642
C69,C,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1,8631616.244116412,771047.5510430076
C70,C,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1,8631616.244116412,361395.4229951096
D4,D,ROGERS PARK,1,54991,63484,-8493,-13.378174,0,1,8631616.244116412,112841.31409113015
B48,B,EDISON PARK,9,11187,11259,-72,-0.639488,0,1,5327034.082439585,696836.947127609
B52,B,EDISON PARK,9,11187,11259,-72,-0.639488,0,1,5327034.082439585,5890626.1757743
C34,C,EDISON PARK,9,11187,11259,-72,-0.639488,0,1,5327034.082439585,552325.4046713674
C37,C,EDISON PARK,9,11187,11259,-72,-0.639488,0,1,5327034.082439585,802764.0499396969
C38,C,EDISON PARK,9,11187,11259,-72,-0.639488,0,1,5327034.082439585,1689522.4314655724
B51,B,NORWOOD PARK,10,37023,37669,-646,-1.714938,0,1,22363825.613927186,571318.2478277774
B52,B,NORWOOD PARK,10,37023,37669,-646,-1.714938,0,1,22363825.613927186,5890626.1757743
