station,loc
Galewood,POINT (-87.79453332697823 41.91925273716994)
Mars,POINT (-87.78473387100063 41.9163977229123)
Gladstone Park,POINT (-87.7990590538536 41.991749966330815)
Norwood Park,POINT (-87.77788773049683 41.97975226900321)
Forest Glen,POINT (-87.76562051281692 41.99762799048514)
Edgebrook,POINT (-87.75616325475838 41.979537200237985)
Bensenville,POINT (-87.97487208704344 41.96236834300634)
Wood Dale,POINT (-87.94181851815047 41.95700078307565)
Mannheim,POINT (-87.94181851815047 41.95700078307565)
Bensenville,POINT (-87.88334016087175 41.941506061514154)
Berkeley,POINT (-87.94093637723702 41.899702795780605)
Elmhurst,POINT (-87.91601795913583 41.89626569843191)
Lombard,POINT (-88.01855017124426 41.8864935273347)
Glen Ellyn,POINT (-88.06460712859537 41.876459043850005)
Medinah,POINT (-88.06706737522327 41.981577969799176)
Roselle,POINT (-88.05092924073372 41.978315859272556)
Roselle,POINT (-88.11835269457585 41.98923495803079)
Schaumburg,POINT (-88.06706737522327 41.981577969799176)
Wilmette,POINT (-87.71673771746762 42.08622203396233)
Kenilworth,POINT (-87.70927656796914 42.07733828732394)
Indian Hill,POINT (-87.73259008841185 42.10528918956016)
Winnetka,POINT (-87.72372890684672 42.09462215146727)
Central St.,POINT (-87.70927656796914 42.07733828732394)
Wilmette,POINT (-87.69810101322233 42.06398743100949)
Park Ridge,POINT (-87.8548900167713 42.02326989777644)
Dee Road,POINT (-87.83174949764555 42.010208932543414)
Edgebrook,POINT (-87.78496568832324 42.03505022267747)
Morton Grove,POINT (-87.76562051281692 41.99762799048514)
Morton Grove,POINT (-87.79715371385855 42.05832639315402)
Golf,POINT (-87.78496568832324 42.03505022267747)
Golf,POINT (-87.80557046398621 42.07461818566561)
Glenview,POINT (-87.79715371385855 42.05832639315402)
Arlington Heights,POINT (-88.0095598335779 42.09566751599606)
Arlington Park,POINT (-87.98218245064523 42.08337535790495)
Arlington Park,POINT (-88.04992884306584 42.11360925991105)
Palatine,POINT (-88.0095598335779 42.09566751599606)
Mayfair,POINT (-87.75616325475838 41.979537200237985)
Forest Glen,POINT (-87.74617167996213 41.960138058946946)
Irving Park,POINT (-87.76334440029291 41.971506048591536)
Jefferson Park,POINT (-87.73116374571093 41.95316954974312)
Des Plaines,POINT (-87.91230501469455 42.05219027766861)
Cumberland,POINT (-87.88675703732955 42.040793055162005)
Elmwood Park,POINT (-87.83632459924124 41.931003726664215)
River Grove,POINT (-87.81478351190806 41.924944949240334)
Bellwood,POINT (-87.91601795913583 41.89626569843191)
Berkeley,POINT (-87.88273968547317 41.89140784112355)
Melrose Park,POINT (-87.88273968547317 41.89140784112355)
Bellwood,POINT (-87.8558718992784 41.8902718289124)
83rd St.,POINT (-87.59833264220774 41.744317075091836)
87th St.,POINT (-87.5999517819206 41.73741478738293)
87th St.,POINT (-87.54816784078291 41.73774799581511)
91st St.,POINT (-87.54778529050479 41.72743735353537)
83rd St.,POINT (-87.5515561190312 41.745013287209474)
91st St.,POINT (-87.66721063836003 41.72797889023571)
Gresham Junction,POINT (-87.64552394414486 41.73411806779149)
Brainerd,POINT (-87.65755834696346 41.73224018886889)
South Shore,POINT (-87.56571421669398 41.76524283541225)
Windsor Park,POINT (-87.5596288729881 41.75850813394452)
Bryn Mawr,POINT (-87.57699668171418 41.7661151561137)
53rd St.,POINT (-87.58678687387443 41.79991719269177)
55th-56th-57th St.,POINT (-87.58749792286987 41.792842201433494)
47th St.,POINT (-87.59085038059075 41.80952459183385)
27th St.,POINT (-87.61343646820798 41.844262946947815)
79th St.,POINT (-87.59698665938375 41.75082678091517)
67th St. Junction,POINT (-87.59270745716287 41.76954348350694)
75th Street,POINT (-87.59515929630642 41.758911809369515)
59th St.,POINT (-87.58876563381271 41.78700263306988)
Wrightwood,POINT (-87.70146075189734 41.75007970186458)
Ashburn,POINT (-87.7125186030963 41.741814920758536)
Elmhurst,POINT (-87.97782790290107 41.89630425053225)
Villa Park,POINT (-87.94093637723702 41.899702795780605)
Villa Park,POINT (-88.01855017124426 41.8864935273347)
Lombard,POINT (-87.97782790290107 41.89630425053225)
Wood Dale,POINT (-88.01391600718297 41.971631820527676)
Itasca,POINT (-87.97487208704344 41.96236834300634)
Rogers Park,POINT (-87.68004781730495 42.033323070243455)
Main St.,POINT (-87.6755262554963 42.00964911919761)
Kenilworth,POINT (-87.72372890684672 42.09462215146727)
Indian Hill,POINT (-87.71673771746762 42.08622203396233)
Winnetka,POINT (-87.74344129940644 42.11818408064156)
Hubbard Woods,POINT (-87.73259008841185 42.10528918956016)
Norwood Park,POINT (-87.81770709333972 42.00223070288584)
Edison Park,POINT (-87.7990590538536 41.991749966330815)
Dee Road,POINT (-87.88675703732955 42.040793055162005)
Des Plaines,POINT (-87.8548900167713 42.02326989777644)
Cumberland,POINT (-87.93618000275688 42.062935586458806)
Mount Prospect,POINT (-87.91230501469455 42.05219027766861)
O'Hare,POINT (-87.89772597143424 42.04716866435602)
Deval,POINT (-87.880317001389 41.99521197561157)
Clinton St. Junction,POINT (-87.68636321834478 41.888454715387496)
Western Ave. Interlocking,POINT (-87.64213980684744 41.88962927170604)
91st St.,POINT (-87.6017542363954 41.729752116298364)
Asburn,POINT (-87.7125186030963 41.741814920758536)
Cheltenham,POINT (-87.55285171899949 41.752320532424854)
Bryn Mawr,POINT (-87.58685037384112 41.76601049942495)
Stony Island,POINT (-87.58685037384112 41.76601049942495)
63rd St.,POINT (-87.59040403959385 41.77988303689912)
75th St.,POINT (-87.59515929630642 41.758911809369515)
Wrightwood,POINT (-87.63699134920557 41.85455805556333)
21st St. Interlocking,POINT (-87.70146075189734 41.75007970186458)
Western Ave.,POINT (-87.72139021208831 41.91224735500227)
Pacific Junction,POINT (-87.68831452300854 41.88910510059156)
Western Ave. Interlocking,POINT (-87.68831452300854 41.88910510059156)
Western Ave.,POINT (-87.68604235544879 41.88843921348716)
Kedzie,POINT (-87.80145473342102 41.88696749752278)
Oak Park,POINT (-87.70657946532519 41.888256566186946)
Oak Park,POINT (-87.82490609763825 41.886806702502206)
River Forest,POINT (-87.80145473342102 41.88696749752278)
River Forest,POINT (-87.83877808532193 41.888333286161924)
Maywood,POINT (-87.82490609763825 41.886806702502206)
Franklin Park,POINT (-87.88334016087175 41.941506061514154)
Mannheim,POINT (-87.86658580612901 41.93653197463551)
Itasca,POINT (-88.05092924073372 41.978315859272556)
Medinah,POINT (-88.01391600718297 41.971631820527676)
Main St.,POINT (-87.68482158110422 42.048064383418094)
Davis St.,POINT (-87.68004781730495 42.033323070243455)
Mount Prospect,POINT (-87.98218245064523 42.08337535790495)
Arlington Heights,POINT (-87.93618000275688 42.062935586458806)
16th St. Junction,POINT (-87.63712198537733 41.86173293064682)
21st St. Interlocking,POINT (-87.63699134920557 41.85455805556333)
Prospect Heights,POINT (-87.92715853426556 42.13644688506416)
Wheeling,POINT (-87.90806385144307 42.09291087470355)
Union Station,POINT (-87.63883140393587 41.87794941174223)
Summit,POINT (-87.8099207299851 41.79496879016019)
Western Ave. Interlocking,POINT (-87.70657946532519 41.888256566186946)
Kedzie,POINT (-87.68604235544879 41.88843921348716)
