src_station,dest_stations
27th St.,McCormick Place
75th St.,79th St.
79th St.,75th St.
Wrightwood,21st St. Interlocking
21st St. Interlocking,Wrightwood
Western Ave.,Pacific Junction
Pacific Junction,Western Ave.
Western Ave. Interlocking,Western Ave.
Western Ave.,Western Ave. Interlocking
Kedzie,Oak Park
Oak Park,Kedzie
Oak Park,River Forest
River Forest,Oak Park
River Forest,Maywood
Maywood,River Forest
Franklin Park,Mannheim
Mannheim,Franklin Park
Itasca,Medinah
Medinah,Itasca
Main St.,Davis St.
Davis St.,Main St.
Mount Prospect,Arlington Heights
Arlington Heights,Mount Prospect
16th St. Junction,21st St. Interlocking
21st St. Interlocking,16th St. Junction
Prospect Heights,Wheeling
Wheeling,Prospect Heights
Union Station,16th St. Junction
16th St. Junction,Union Station
59th St.,63rd St.
63rd St.,59th St.
Summit,Willow Springs
Willow Springs,Summit
Western Ave. Interlocking,Kedzie
Kedzie,Western Ave. Interlocking
Maywood,Melrose Park
Melrose Park,Maywood
21st St. Interlocking,Summit
Summit,21st St. Interlocking
91st St.,95th St.
95th St.,91st St.
Westmont,Fairview Ave.
Fairview Ave.,Westmont
Fairview Avenue,Main St.
Main St.,Fairview Avenue
Main St.,Belmont
Belmont,Main St.
Belmont,Lisle
Lisle,Belmont
Riverside,Hollywood
Hollywood,Riverside
Hollywood,Brookfield
Brookfield,Hollywood
Brookfield,Congress Park
Congress Park,Brookfield
Congress Park,LaGrange Rd.
LaGrange Rd.,Congress Park
LaGrange Rd.,Stone Ave.
Stone Ave.,LaGrange Rd.
Stone Ave.,Western Springs
Western Springs,Stone Ave.
Western Springs,Highlands
Highlands,Western Springs
Highlands,Hinsdale
Hinsdale,Highlands
Hinsdale,West Hinsdale
West Hinsdale,Hinsdale
West Hinsdale,Clarendon Hills
Clarendon Hills,West Hinsdale
16th St. Junction,Halsted
Halsted,16th St. Junction
Clarendon Hills,Westmont
Westmont,Clarendon Hills
Halsted St.,Western Ave.
Western Ave.,Halsted St.
Western Ave.,Cicero
Cicero,Western Ave.
Clyde,LaVergne
LaVergne,Clyde
LaVergne,Berwyn
Berwyn,LaVergne
Berwyn,Harlem Ave.
Harlem Ave.,Berwyn
Harlem Ave.,Riverside
Riverside,Harlem Ave.
Cicero,Clyde
Clyde,Cicero
Lisle,Naperville
Naperville,Lisle
Naperville,Route 59
Route 59,Naperville
Route 59,Aurora
Aurora,Route 59
Randolph St.,Van Buren St.
Van Buren St.,Randolph St.
Van Buren St.,Roosevelt Rd.
Roosevelt Rd.,Van Buren St.
Roosevelt Rd.,11th Pl. Divide
11th Pl. Divide,Roosevelt Rd.
11th Pl. Divide,18th St.
18th St.,11th Pl. Divide
